[行政班]高一英语课时练（第1次）2026年3月16日高一年级（英语）小题得分明细,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
准考证号,自定义考号,班级,英语,校次,班次,客观分,主观分,单选题,其他,书面表达,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,26
82156633,7106100712,高一565班,96,13,1,57,39,57,36,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,16,3
82159519,7105100318,高一555班,96,13,2,57,39,57,35,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,17,4
82159555,7105100224,高一555班,96,13,2,55,41,55,37,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,20,17,4
82160227,7105100127,高一556班,96,13,2,55,41,55,36,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,16,5
82161057,7106101231,高一562班,96,13,1,57,39,57,36,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,3
82161129,7106100311,高一562班,96,13,1,57,39,57,35,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,15,4
82161515,7105100052,高一550班,96,13,5,55,41,55,36,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,18,5
82161519,7105100299,高一551班,96,13,4,54,42,54,38,4,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,18,4
82166210,7105100091,高一552班,96,13,4,53,43,53,38,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,20,18,5
82166220,7105100021,高一552班,96,13,4,57,39,57,36,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,3
82166238,7105100101,高一556班,96,13,2,55,41,55,36,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,20,16,5
82168049,7105100036,高一551班,96,13,4,57,39,57,34,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,18,5
82168062,7105100077,高一551班,96,13,4,55,41,55,37,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,17,4
82168078,7105100493,高一551班,96,13,4,53,43,53,38,5,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,18,5
82150409,7106100322,高一570班,95,30,1,57,38,57,33,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,15,5
82159533,7105100201,高一552班,95,30,6,57,38,57,35,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,17,3
82161520,7105100226,高一552班,95,30,6,55,40,55,36,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,20,16,4
82161522,7105100023,高一550班,95,30,6,53,42,53,38,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,20,18,4
82161535,7105100049,高一550班,95,30,6,55,40,55,36,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,18,4
82164702,7106101324,高一565班,95,30,2,57,38,57,34,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,16,4
82166206,7105100112,高一552班,95,30,6,55,40,55,36,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,18,4
82166239,7105100011,高一552班,95,30,6,55,40,55,37,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,20,17,3
82150388,7106101036,高一568班,94,38,1,57,37,57,33,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,15,4
82156581,7106101134,高一561班,94,38,4,57,37,57,33,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,15,4
82159177,7105100073,高一550班,94,38,8,53,41,53,37,4,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,17,4
82160240,7105100058,高一551班,94,38,8,55,39,55,36,3,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,16,3
82160760,7106101302,高一564班,94,38,1,55,39,55,34,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,16,5
82161514,7105100076,高一550班,94,38,8,53,41,53,36,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,18,5
82161552,7105100044,高一550班,94,38,8,52,42,52,37,5,3,3,3,3,3,3,3,3,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,17,5
82162576,7105100145,高一557班,94,38,1,55,39,55,36,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,18,3
82165045,7106100704,高一562班,94,38,3,55,39,55,36,3,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,18,18,3
82166204,7105100018,高一552班,94,38,10,53,41,53,37,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,20,17,4
82167837,7106100404,高一562班,94,38,3,53,41,53,38,3,3,3,3,3,3,3,3,3,3,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,20,18,3
82303637,7106101340,高一569班,94,38,1,57,37,57,33,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,15,4
82145524,7105100532,高一553班,93,50,1,55,38,55,34,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,18,16,4
82145525,7105100454,高一557班,93,50,2,57,36,57,31,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,15,5
82156564,7106100917,高一561班,93,50,5,55,38,55,33,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,15,5
82158325,7106101212,高一565班,93,50,3,53,40,53,37,3,3,3,3,3,3,3,3,3,3,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,20,17,3
82161070,7106100233,高一565班,93,50,3,55,38,55,35,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,20,15,3
82161573,7105100020,高一550班,93,50,11,53,40,53,36,4,3,3,3,3,3,3,3,3,3,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,16,4
82162843,7105100079,高一552班,93,50,11,51,42,51,38,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,2,2,2,2,2,0,2,2,20,18,4
82164306,7106100319,高一569班,93,50,2,53,40,53,37,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,2,2,2,2,2,2,2,0,2,2,20,17,3
82164331,7106101102,高一569班,93,50,2,53,40,53,35,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,18,17,5
82166211,7105100004,高一552班,93,50,11,55,38,55,34,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,16,4
82166221,7105100012,高一552班,93,50,11,53,40,53,36,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,18,18,4
82167476,7105100272,高一554班,93,50,1,55,38,55,34,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,16,18,4
82168048,7105100053,高一550班,93,50,11,54,39,54,35,4,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,15,4
82156605,7106100116,高一563班,92,63,1,55,37,55,34,3,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,18,16,3
82156625,7106101002,高一561班,92,63,6,53,39,53,35,4,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,17,4
82156629,7106101116,高一562班,92,63,5,55,37,55,34,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,20,14,3
82158320,7106100328,高一565班,92,63,5,57,35,57,32,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,14,3
82158327,7106100831,高一563班,92,63,1,55,37,55,34,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,20,14,3
82159387,7105100398,高一555班,92,63,4,53,39,53,35,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,17,4
82159524,7105100119,高一552班,92,63,14,51,41,51,38,3,3,3,3,3,3,3,3,3,3,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,20,18,3
82161077,7106101028,高一562班,92,63,5,57,35,57,33,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,15,2
82161111,7106100209,高一562班,92,63,5,53,39,53,34,5,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,18,16,5
82161516,7105100151,高一551班,92,63,9,54,38,54,34,4,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,16,4
82162830,7105100069,高一553班,92,63,2,55,37,55,33,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,15,4
82164701,7106100325,高一568班,92,63,2,53,39,53,35,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,20,15,4
82165029,7106100202,高一561班,92,63,6,57,35,57,33,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,15,2
82166194,7105100001,高一556班,92,63,4,55,37,55,32,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,14,5
82166223,7105100045,高一552班,92,63,14,55,37,55,33,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,16,17,4
82166226,7105100104,高一550班,92,63,13,53,39,53,36,3,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,16,3
82166228,7105100009,高一552班,92,63,14,51,41,51,36,5,3,3,3,3,3,3,3,3,3,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,18,5
82167842,7106101129,高一565班,92,63,5,55,37,55,34,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,16,3
82168039,7105100344,高一556班,92,63,4,52,40,52,35,5,3,3,3,3,3,3,3,3,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,17,5
82168063,7105100462,高一551班,92,63,9,53,39,53,35,4,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,15,4
82168065,7105100048,高一554班,92,63,2,51,41,51,36,5,3,3,3,3,3,3,3,3,3,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,18,18,5
82302028,7106101343,高一569班,92,63,4,53,39,53,35,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,18,17,4
82150394,7106101128,高一568班,91,85,3,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,16,4
82150413,7106100528,高一568班,91,85,3,57,34,57,30,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,14,4
82153660,7105100361,高一557班,91,85,3,53,38,53,33,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,18,15,5
82156561,7106101336,高一561班,91,85,8,57,34,57,29,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,17,5
82158328,7106100639,高一565班,91,85,7,57,34,57,31,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,15,3
82159384,7105100428,高一555班,91,85,5,57,34,57,30,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,14,4
82159517,7105100353,高一555班,91,85,5,55,36,55,32,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,14,4
82159553,7105100116,高一555班,91,85,5,53,38,53,35,3,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,15,3
82160243,7105100468,高一557班,91,85,3,50,41,50,37,4,3,3,3,3,3,3,3,3,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,20,17,4
82160248,7105100075,高一552班,91,85,17,55,36,55,32,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,16,16,4
82160255,7105100060,高一552班,91,85,17,53,38,53,36,2,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,20,16,2
82160774,7105100065,高一551班,91,85,11,52,39,52,35,4,3,3,3,3,3,3,3,0,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,17,4
82161524,7105100013,高一551班,91,85,11,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,18,16,4
82161529,7105100099,高一550班,91,85,14,49,42,49,37,5,3,3,3,3,3,3,3,3,3,2,2,0,0,2,0,2,2,2,2,2,2,0,2,2,20,17,5
82161544,7105100025,高一550班,91,85,14,52,39,52,35,4,3,3,3,3,0,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,15,4
82162816,7105100467,高一553班,91,85,3,53,38,53,33,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,15,5
82162818,7105100378,高一557班,91,85,3,50,41,50,38,3,3,3,3,3,3,3,3,3,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,20,18,3
82162819,7105100252,高一553班,91,85,3,55,36,55,32,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,14,4
82162820,7105100146,高一553班,91,85,3,55,36,55,32,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,16,16,4
82162844,7105100062,高一552班,91,85,17,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,16,18,4
82162848,7105100154,高一553班,91,85,3,49,42,49,38,4,3,3,3,3,3,3,3,3,3,2,2,0,0,2,0,2,0,2,2,2,2,2,2,2,20,18,4
82164716,7106100520,高一568班,91,85,3,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,18,16,4
82165037,7106100414,高一561班,91,85,8,53,38,53,35,3,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,20,15,3
82165065,7106101221,高一563班,91,85,3,52,39,52,36,3,3,3,3,3,0,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,20,16,3
82166197,7105100019,高一552班,91,85,17,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,18,16,4
82166207,7105100005,高一552班,91,85,17,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,18,16,4
82166214,7105100208,高一554班,91,85,3,55,36,55,31,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,13,5
82166231,7105100203,高一552班,91,85,17,51,40,51,36,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,0,2,2,2,0,2,2,20,16,4
82166232,7105100310,高一557班,91,85,3,51,40,51,35,5,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,0,2,2,2,2,2,2,2,20,15,5
82166234,7105100038,高一552班,91,85,17,53,38,53,34,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,18,16,4
82166236,7105100067,高一552班,91,85,17,53,38,53,35,3,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,18,17,3
82167445,7105100364,高一554班,91,85,3,55,36,55,32,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,20,12,4
82167465,7105100525,高一554班,91,85,3,55,36,55,32,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,16,16,4
82168068,7105100231,高一551班,91,85,11,51,40,51,36,4,3,3,3,3,3,3,3,3,3,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,18,18,4
82150421,7106100730,高一564班,90,119,2,53,37,53,33,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,0,2,2,2,2,2,2,16,17,4
82153604,7105100520,高一560班,90,119,1,47,43,47,38,5,3,3,3,3,3,3,3,3,3,2,2,0,0,2,0,2,2,0,2,2,0,2,2,2,20,18,5
82156556,7106100903,高一570班,90,119,2,52,38,52,34,4,3,3,3,3,3,3,3,3,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,16,4
82156575,7106101311,高一561班,90,119,10,55,35,55,31,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,13,4
82156590,7106101209,高一561班,90,119,10,53,37,53,33,4,3,3,3,3,3,3,3,3,3,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,16,17,4
82156592,7106100320,高一561班,90,119,10,55,35,55,31,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,18,13,4
82157804,7106101023,高一562班,90,119,8,51,39,51,35,4,3,3,3,3,3,3,3,3,3,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,18,17,4
82158294,7106101140,高一565班,90,119,8,54,36,54,33,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,14,3
82158330,7106100305,高一569班,90,119,5,54,36,54,32,4,3,3,3,0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,16,4
82159545,7105100253,高一555班,90,119,8,53,37,53,32,5,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,16,16,5
82159558,7105100413,高一555班,90,119,8,57,33,57,28,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,14,5
82160236,7105100095,高一552班,90,119,25,50,40,50,37,3,3,3,3,3,3,3,3,0,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,17,3
82160265,7105100134,高一558班,90,119,1,55,35,55,31,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,18,13,4
82160763,7106100416,高一568班,90,119,6,55,35,55,31,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,18,13,4
82160768,7106100201,高一564班,90,119,2,51,39,51,35,4,3,3,3,3,3,3,3,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,15,4
82161067,7106101112,高一562班,90,119,8,50,40,50,38,2,3,3,3,3,0,3,3,3,3,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,20,18,2
82161075,7106100301,高一565班,90,119,8,55,35,55,32,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,14,3
82161116,7106100218,高一562班,90,119,8,53,37,53,35,2,3,3,3,3,3,3,3,3,3,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,20,15,2
82161131,7106100231,高一562班,90,119,8,53,37,53,33,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,18,15,4
82161517,7105100505,高一551班,90,119,14,49,41,49,37,4,3,3,3,3,0,3,3,3,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,20,17,4
82161525,7105100349,高一552班,90,119,25,53,37,53,33,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,15,4
82161530,7105100511,高一551班,90,119,14,53,37,53,32,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,18,14,5
82161559,7105100026,高一550班,90,119,16,52,38,52,34,4,3,3,3,3,3,3,3,0,3,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,18,16,4
82162143,7105100046,高一556班,90,119,6,50,40,50,35,5,3,3,3,3,3,3,3,0,3,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,18,17,5
82162566,7105100241,高一557班,90,119,7,53,37,53,33,4,3,3,3,3,3,3,3,3,3,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,16,17,4
82162838,7105100499,高一557班,90,119,7,53,37,53,32,5,3,3,3,3,3,3,3,3,3,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,18,14,5
82162841,7105100425,高一557班,90,119,7,51,39,51,34,5,3,3,3,3,3,3,3,3,3,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,18,16,5
82164403,7105100528,高一557班,90,119,7,51,39,51,35,4,3,3,3,3,3,3,3,3,3,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,20,15,4
82164719,7106101331,高一568班,90,119,6,55,35,55,31,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,14,17,4
82165013,7106100421,高一570班,90,119,2,57,33,57,30,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,14,3
82165031,7106100114,高一561班,90,119,10,55,35,55,31,4,3,3,3,3,3,3,3,3,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16,15,4
82165041,7106101014,高一569班,90,119,5,53,37,53,33,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,18,15,4
82165733,7106100838,高一563班,90,119,4,51,39,51,36,3,3,3,3,3,3,3,3,3,3,2,2,0,2,2,0,2,2,0,2,2,2,2,2,2,20,16,3
82166212,7105100114,高一552班,90,119,25,51,39,51,34,5,3,3,3,3,3,3,3,3,3,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,18,16,5
82168044,7105100040,高一550班,90,119,16,52,38,52,34,4,3,0,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,16,4
82168052,7105100086,高一551班,90,119,14,49,41,49,37,4,3,0,3,3,3,3,3,0,3,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,20,17,4
82168057,7105100097,高一551班,90,119,14,51,39,51,35,4,3,3,3,3,3,3,3,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,17,4
82153665,7105100357,高一558班,89,156,2,50,39,50,35,4,3,3,3,3,3,3,0,3,3,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,20,15,4
82156558,7106101216,高一561班,89,156,14,48,41,48,36,5,3,3,3,3,3,3,3,3,0,0,2,0,2,2,2,2,2,0,2,2,2,2,2,2,20,16,5
82156566,7106101217,高一561班,89,156,14,49,40,49,35,5,3,3,3,3,3,3,3,3,3,0,2,0,0,2,0,2,2,2,2,2,2,2,2,2,18,17,5
82156573,7106100212,高一561班,89,156,14,55,34,55,30,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,16,14,4
82156579,7106101135,高一550班,89,156,18,49,40,49,35,5,3,3,3,3,3,3,3,3,3,2,2,0,0,2,0,2,2,2,2,2,2,0,2,2,18,17,5
82156594,7106101304,高一561班,89,156,14,55,34,55,30,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,18,12,4
82158335,7106101227,高一568班,89,156,8,53,36,53,32,4,3,3,3,3,3,3,3,3,3,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,18,14,4
